OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
3477,530330248001009,62.7035732269287,89.5920486450195,87.4185485839844,0.00386857445680975,0.999392462773429,5536.9921123798,53033024800,1,10,3945,0,99.9999999984019,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033024800,176.72,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,7.2,18,7.9,0.5786,2.4121,2.682,0.8423,2.2977,8.2341,16,4,4,4,4,3,1,4,3,2,5,5,2,4,3,5,0,0,3,42465.7996826172,2455.12284360667,0,9,Bellevue,21.1,12.3340471092077,58.2,41.7627677100494,3,3,3
3478,530330234013006,61.4473457336426,86.9794387817383,83.551441192627,0.0192292720903075,0.85905109687055,7989.76849365234,53033023401,1,0,2687,0,100.000000002354,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033023401,169.28,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,38.3,17.8,11.2,0.6188,1.7815,3.0478,0.892,2.7873,8.5086,18.4,4,3,5,4,4,4,4,4,4,5,5,3,3,1,1,0,0,3,28920.282043457,1926.39686898114,0,6,Bellevue,18.8,14.9271844660194,56.9,43.0742255990649,2,4,4
3479,530330234013004,60.3317642211914,85.9963302612305,83.5132369995117,0.330705828208025,0.58872671920978,8366.92417070944,53033023401,1,229,49964,0,99.9999999996395,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033023401,169.28,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,38.3,17.8,11.2,0.6188,1.7815,3.0478,0.892,2.7873,8.5086,18.4,4,3,5,4,4,4,4,4,4,2,4,3,2,1,1,0,0,3,537784.322784424,3008.75368415216,0,6,Bellevue,18.8,14.9271844660194,56.9,43.0742255990649,2,4,4
3480,530330236041003,61.1838455200195,89.1588592529297,85.1828155517578,0.546215929480789,0.152167594605536,8204.99739247745,53033023604,1,49,117442,0,99.9999999997479,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033023604,147.9,2,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,32,19.4,12.2,0.862,3.5611,3.3033,0.896,2.6733,10.4337,23.8,5,5,5,5,3,4,5,4,4,1,1,3,2,2,2,0,0,2,1264079.91470337,4618.88907545572,0,6,Bellevue,21.9,25.6746031746032,37.5,62.4540778839089,4,5,4
3481,530330248001017,61.9717617034912,88.182933807373,85.4425201416016,0.386420727057868,0.429628081258456,6918.97358530827,53033024800,1,93,63310,0,99.9999999998724,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033024800,176.72,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,7.2,18,7.9,0.5786,2.4121,2.682,0.8423,2.2977,8.2341,16,4,4,4,4,3,1,4,3,2,2,2,3,3,1,3,0,0,3,681445.214538574,5457.37296788922,0,9,Bellevue,21.1,12.3340471092077,58.2,41.7627677100494,3,3,3
3482,530330248002017,61.6134147644043,88.2892303466797,85.2202377319336,0.214468381378285,0.419812877998072,8901.21580456149,53033024800,1,54,31227,0,99.9999999994284,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033024800,176.72,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,7.2,18,7.9,0.5786,2.4121,2.682,0.8423,2.2977,8.2341,16,4,4,4,4,3,1,4,3,2,3,2,3,3,1,2,0,0,3,336111.652038574,2772.33372484179,0,9,Bellevue,21.1,12.3340471092077,58.2,41.7627677100494,3,3,3
3483,530330236041000,61.8546905517578,89.803337097168,85.2768325805664,0.116344926611359,0.568426382823046,7750.8687890625,53033023604,1,0,5238,0,100.000000000371,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033023604,147.9,2,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,32,19.4,12.2,0.862,3.5611,3.3033,0.896,2.6733,10.4337,23.8,5,5,5,5,3,4,5,4,4,4,4,3,3,4,3,0,0,2,56380.212097168,2746.0810260839,0,6,Bellevue,21.9,25.6746031746032,37.5,62.4540778839089,4,5,4
3484,530330248001023,60.7727966308594,89.0077209472656,85.0863342285156,0.204945183795509,0.401277423090079,8356.04711574978,53033024800,1,21,14262,0,100.000000000509,Bellevue-Central,4000,36,Bellevue - Central,Bellevue,1,53033024800,176.72,3,82.9,2,0.043,1,0,0,0,0,0,0,0,0,0,7.2,18,7.9,0.5786,2.4121,2.682,0.8423,2.2977,8.2341,16,4,4,4,4,3,1,4,3,2,3,2,3,2,2,2,0,0,3,153509.757659912,1581.15144893826,0,9,Bellevue,21.1,12.3340471092077,58.2,41.7627677100494,3,3,3
3485,530330249012000,60.1657562255859,88.7198104858398,84.8272933959961,0.179814940596154,0.506402709305987,9450.70868468915,53033024901,1,48,18776,0,100.000000000181,Bellevue-South,4200,31,Bellevue - South,Bellevue,1,53033024901,113.14,1,83.7,1,0.053,2,0,0,0,0,0,0,0,0,0,19.4,18.3,5.3,0.0995,0.3903,2.7275,0.9022,0.8233,4.8433,4.3,1,1,4,5,1,2,4,1,1,4,3,3,2,2,2,0,0,1,202092.125793457,2034.75492291254,0,9,Bellevue,21.7,7.66832917705736,98.7,1.31729667812142,4,1,1
3486,530330253032000,62.2554092407227,91.0822677612305,88.8125991821289,0.369383040192729,0.347687492429255,3135.9022746821,53033025303,1,0,88852,0,100.000000000421,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,2,2,2,4,5,5,0,0,2,956399.086120605,10335.9244201479,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3487,530330254012017,62.229133605957,90.483268737793,89.0742111206055,0.300475045981292,0.481280024728964,4064.46964518229,53033025401,1,74,18527,0,99.9999999999258,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,26.1,32.7,13,0.8733,4.0812,2.8167,0.9271,2.7515,10.5765,30.7,5,5,4,5,4,3,5,5,4,2,3,2,4,5,5,0,0,3,199426.518981934,2536.2782131184,0,5,Renton,19.1,16.3265306122449,26.9,73.0857142857143,3,4,5
3488,530330252012009,62.0336475372314,90.5677070617676,88.1381607055664,0.462355023892156,0.362472186945022,3412.13339163823,53033025201,1,686,223756,0,100.000000000019,Renton-North,20100,23,Renton - North,Renton,1,53033025200,216.27,4,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,6.1,31.5,17.5,0.6663,2.602,3.5906,0.7631,1.8871,8.8428,17.2,4,4,5,3,2,1,5,3,5,1,2,2,3,5,5,0,0,4,2408482.72349548,10537.1490721677,0,5,Renton,19.1,20.1397712833545,72.7,27.2727272727273,3,5,3
3489,530330252012000,61.6420783996582,90.0727691650391,86.8928146362305,0.216109569405902,0.511964333134571,2608.94396271659,53033025201,1,121,50161,0,99.999999999791,Renton-North,20100,23,Renton - North,Renton,1,53033025200,216.27,4,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,6.1,31.5,17.5,0.6663,2.602,3.5906,0.7631,1.8871,8.8428,17.2,4,4,5,3,2,1,5,3,5,3,3,2,3,4,5,0,0,4,539920.424377441,3307.91792089136,0,9,Renton,19.1,20.1397712833545,72.7,27.2727272727273,3,5,3
3490,530330252012006,62.0417404174805,89.3362045288086,85.4929504394531,0.202059416751338,0.505417022492865,2215.36751837479,53033025201,1,40,13811,0,100.000000000831,Renton-North,20100,23,Renton - North,Renton,1,53033025200,216.27,4,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,6.1,31.5,17.5,0.6663,2.602,3.5906,0.7631,1.8871,8.8428,17.2,4,4,5,3,2,1,5,3,5,3,3,1,3,3,3,0,0,4,148661.395736694,1712.79752459929,0,9,Renton,19.1,20.1397712833545,72.7,27.2727272727273,3,5,3
3491,530330252013001,61.8518600463867,90.0735931396484,87.0844497680664,0.129794841838812,0.543359935711322,3028.39892631084,53033025201,1,143,47238,0,99.9999999994918,Renton-North,20100,23,Renton - North,Renton,1,53033025200,216.27,4,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,6.1,31.5,17.5,0.6663,2.602,3.5906,0.7631,1.8871,8.8428,17.2,4,4,5,3,2,1,5,3,5,4,4,2,3,4,5,0,0,4,508465.902328491,3292.73330862899,0,9,Renton,19.1,20.1397712833545,72.7,27.2727272727273,3,5,3
3492,530330252012005,62.0570220947266,89.212776184082,85.0545196533203,0.136520228909831,0.484048955709988,1953.0645221911,53033025201,1,36,14667,0,99.9999999993566,Renton-North,20100,23,Renton - North,Renton,1,53033025200,216.27,4,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,6.1,31.5,17.5,0.6663,2.602,3.5906,0.7631,1.8871,8.8428,17.2,4,4,5,3,2,1,5,3,5,4,3,1,3,3,2,0,0,4,157876.593063354,1738.28208863528,0,9,Renton,19.1,20.1397712833545,72.7,27.2727272727273,3,5,3
3493,530330254013003,62.2420997619629,90.4742774963379,88.9203834533691,0.226291548546484,0.477312631146981,4204.22615574049,53033025401,1,239,57372,0,100.000000000353,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,26.1,32.7,13,0.8733,4.0812,2.8167,0.9271,2.7515,10.5765,30.7,5,5,4,5,4,3,5,5,4,3,3,2,4,5,5,0,0,3,617540.749511719,4454.08182182161,0,5,Renton,19.1,16.3265306122449,26.9,73.0857142857143,3,4,5
3494,530330254013002,61.5291748046875,89.6474761962891,89.2708206176758,0.153930454738851,0.726422219054162,5127.52117907072,53033025401,1,266,48636,0,99.9999999998498,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,26.1,32.7,13,0.8733,4.0812,2.8167,0.9271,2.7515,10.5765,30.7,5,5,4,5,4,3,5,5,4,4,5,2,3,3,5,0,0,3,523513.722473145,4454.44625886753,0,5,Renton,19.1,16.3265306122449,26.9,73.0857142857143,3,4,5
3495,530330253032010,62.1217651367188,91.6719284057617,89.7046318054199,0.0556577297426405,0.89397480272264,2813.92135114397,53033025303,1,0,35013,0,99.999999999947,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,5,2,4,5,5,84.0900797760795,1,2,376878.631240845,2554.50465633712,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3496,530330253032016,62.5384101867676,91.5290641784668,90.5082015991211,0.0873928041782191,0.903163057887879,3214.66257537357,53033025303,1,0,25939,0,99.9999999997583,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,5,2,4,5,5,76.6017118194601,1,2,279205.396820068,2141.53430406442,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3497,530330253032018,62.5806102752686,91.6492652893066,89.8934135437012,0.114528286195973,0.889245090524165,3762.0913374706,53033025303,1,0,27646,0,99.999999999803,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,4,5,2,4,5,5,78.5806369598413,1,2,297573.754211426,2232.73898841015,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3498,530330253031012,62.7289810180664,90.3618011474609,87.4984359741211,0.106081556412682,0.671118447910254,5711.91632915296,53033025303,1,39,8614,0,100.000000000516,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,4,3,4,5,5,31.0865454909921,1,2,92722.8273925781,1603.02393493421,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3499,530330320071006,54.8040924072266,90.6543350219727,80.1515045166016,0.172792636111052,0.123272574404207,42447.3491128178,53033032007,1,0,29566,0,100.000000000075,Covington/Maple Valley,8000,8,"East Highlands, Hobart, and Greater Maple Valley",King County,1,53033032007,291.21,5,79.8,4,0.09,4,0,0,0,0,0,0,0,0,0,6.8,2.5,10.2,0.1618,1.556,2.5597,0.0622,1.226,5.4039,9.09999999999999,2,2,4,1,1,1,1,2,4,4,1,5,1,5,1,0,0,5,318254.081985474,2613.28662090091,0,9,Tahoma,25.8,13.6690647482014,85.5,11.9167264895908,5,3,2
3500,530330253031009,62.2023105621338,90.6511917114258,88.4106826782227,0.0132170848212215,0.688516506577601,5430.95008775404,53033025303,1,0,27043,0,100.000000001176,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,5,2,4,5,5,0,0,2,291083.79838562,2205.48127990422,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3501,530330253031028,61.994270324707,91.2987594604492,89.3919067382813,0.13410173416489,0.736953461055214,5967.48916015625,53033025303,1,21,7944,0,99.9999999995476,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,4,5,3,3,5,5,0,0,2,85503.3639678955,1573.17671924127,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3502,530330253031011,62.6385822296143,90.2111358642578,87.8108863830566,0.0646617986164489,0.660381265095689,5633.51913228849,53033025303,1,43,8705,0,99.9999999999911,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,4,3,4,4,5,30.7637072142403,1,2,93697.3885650635,1606.21696955196,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3503,530330253031026,62.1868267059326,91.2535552978516,88.8982887268066,0.145761339092873,0.635130187358516,6129.52913222202,53033025303,1,35,7742,0,100.00000000094,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,4,4,3,4,5,5,0,0,2,83334.0959777832,1458.60836301891,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3504,530330253031024,62.4539604187012,91.594841003418,88.6060485839844,0.121595225176343,0.631561750986406,6246.21052381727,53033025303,1,33,7707,0,100.000000004855,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,4,4,3,4,5,5,0,0,2,82956.258682251,1458.49968630388,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3505,530330253031015,62.3116264343262,89.5978927612305,87.1282119750977,0.0465045521567159,0.90365217691219,5836.22926176264,53033025303,1,0,8932,0,99.9999999979674,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,5,3,4,3,5,63.8260736423836,1,2,96147.6132202148,1620.03051151973,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3506,530330253031014,62.9224605560303,89.8701705932617,87.1767730712891,0.0595538312318138,0.941880314652179,5767.24941184304,53033025303,1,0,4310,0,99.9999999999354,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,5,3,5,4,5,41.614280257475,1,2,46392.3062438965,978.443658745135,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3507,530330253031022,63.2034683227539,91.0042343139648,87.8541717529297,0.113951370856237,0.627158727797064,6145.59220377604,53033025303,1,14,6198,0,100.000000000729,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,4,4,3,5,5,5,0,0,2,66719.9516448975,1155.70755922408,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3508,530330253031017,63.4523048400879,90.7605895996094,87.8802337646484,0.0863140510235125,0.774326184649656,6147.51824301862,53033025303,1,0,4811,0,99.9999999975657,Renton-North,20100,23,Renton - North,Renton,1,53033025301,145.6,2,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,83.7,14.8,6,0.5028,2.7285,1.394,0.8423,2.7094,7.6742,28.1,3,4,1,4,3,5,4,5,1,5,5,3,5,5,5,0,0,2,51781.7952880859,1010.23847193052,0,5,Renton,8.9,25.4140127388535,20,80,1,5,5
3509,530330254023006,62.2130184173584,90.579216003418,88.3458976745605,0.206933583917844,0.485773063196944,4152.42173365543,53033025402,1,63,18688,0,99.9999999997062,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,3,3,2,4,5,5,0,0,3,201155.657684326,1954.43005694411,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3510,530330254023005,62.1248664855957,90.1310195922852,88.4461669921875,0.143762002270485,0.508157860681599,4363.12910745132,53033025402,1,72,19707,0,100.000000000607,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,4,3,2,4,4,5,0,0,3,212123.059249878,2209.69396064843,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3511,530330254023009,62.0873908996582,90.0375823974609,88.3680114746094,0.138429296271785,0.539139495335139,4680.39480287666,53033025402,1,58,15161,0,100.000000000504,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,4,3,2,3,4,5,0,0,3,163185.967254639,1868.90134276151,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3512,530330254023008,61.9410514831543,90.0201034545898,88.4691314697266,0.119217948967856,0.576412621190272,4903.49517299107,53033025402,1,33,10724,0,100.000000000468,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,4,4,2,3,4,5,0,0,3,115431.199035645,2059.59793396445,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3513,530330254023010,61.9729652404785,90.0291213989258,88.4905090332031,0.227295590454368,0.461709168585337,4622.60531918637,53033025402,1,46,11220,0,100.00000000013,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,3,3,2,3,4,5,0,0,3,120768.665145874,1447.72169832934,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3514,530330254023003,61.5088539123535,89.7346534729004,88.8354263305664,0.117785315563153,0.552807888974164,4917.94814918155,53033025402,1,50,7825,0,100.000000000266,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,4,4,2,3,3,5,0,0,3,84231.7936096191,1638.43098664497,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3515,530330254023015,61.2449645996094,89.3469390869141,88.3371887207031,0.134117476821945,0.487067646761592,5618.73164856833,53033025402,1,67,20225,0,100.000000000225,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,4,3,2,2,3,5,0,0,3,217702.819442749,2356.71294610657,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3516,530330254021006,61.8009185791016,89.1074295043945,86.5359802246094,0.158099226299112,0.426683831498307,6109.03793277689,53033025402,1,65,37337,0,100.000000000033,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,4,2,3,3,2,4,0,0,3,401890.08190918,3224.31276065231,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3517,530330256013007,62.0931434631348,89.6584014892578,86.6488571166992,0.0247963412891239,0.57924395455645,7947.75922492938,53033025601,1,44,17550,0,100.00000000099,Renton-North,20100,23,Renton - North,Renton,1,53033025601,121.17,1,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,12.8,27.7,12.2,0.8196,2.8287,2.897,0.8954,3.4464,10.0675,15.9,5,4,5,5,5,1,5,3,4,5,4,3,3,3,4,0,0,1,188908.315963745,1971.76931363086,0,5,Renton,20.9,10.5429625724829,51.4,27.9920870425321,3,2,3
3518,530330254021010,59.8153114318848,89.6131591796875,87.4519958496094,0.481373015582482,0.296744390810664,6781.43415003174,53033025402,1,54,51392,0,99.9999999997867,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,1,1,3,2,3,5,0,0,3,553176.420730591,4203.31191806003,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3519,530330254021005,60.7636985778809,89.353816986084,87.3359184265137,0.204558972551439,0.399166127323913,6357.43888432929,53033025402,1,74,37960,0,100.000000000278,Renton-North,20100,23,Renton - North,Renton,1,53033025400,169.09,3,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,31.7,22.1,18,0.7274,2.7468,2.8699,0.8909,2.724,9.2316,11.4,4,4,5,4,3,4,5,2,5,3,2,3,2,3,5,0,0,3,408601.804733276,3530.68630596425,0,5,Renton,15.9,15.4325259515571,49.4,50.609756097561,2,4,4
3520,530330256013006,61.9698791503906,89.6640853881836,86.5955352783203,0.0373829223669479,0.570313633684175,8103.98580103994,53033025601,1,35,15310,0,99.999999999499,Renton-North,20100,23,Renton - North,Renton,1,53033025601,121.17,1,80.3,3,0.111,5,0,0,0,0,0,0,0,0,0,12.8,27.7,12.2,0.8196,2.8287,2.897,0.8954,3.4464,10.0675,15.9,5,4,5,5,5,1,5,3,4,5,4,3,3,3,4,0,0,1,164800.549072266,1766.54714583945,0,5,Renton,20.9,10.5429625724829,51.4,27.9920870425321,3,2,3
3521,530330058032018,62.6209697723389,87.977668762207,84.3933563232422,0.190353959511883,0.62460786360084,2387.50637160967,53033005803,1,114,25167,0,99.9999999997486,QA/Magnolia,2900,45,Magnolia and Interbay,Seattle,1,53033005802,129.86,2,85.1,1,0.035,1,0,0,0,0,0,0,0,0,0,26.8,4.1,5.4,0.3857,2.2131,1.142,0.7111,2.9212,6.9874,20.2,3,3,1,3,4,3,2,4,1,4,4,1,4,1,2,0,0,2,270877.153259277,2157.84339231272,0,4,Seattle,13.6,6.49698593436035,46.5,53.489847715736,1,1,4
3522,530330056005027,62.4001960754395,86.8008842468262,81.6909065246582,0.15851871947911,0.62429986606397,1887.72229908131,53033005600,1,17,7709,0,100.000000000299,QA/Magnolia,2900,45,Magnolia and Interbay,Seattle,1,53033005600,136.83,2,85.1,1,0.035,1,0,0,0,0,0,0,0,0,0,25.1,2.1,4.3,0.0848,0.7069,2.3347,0.3103,1.2957,4.6476,3.8,1,1,3,1,1,3,1,1,1,4,4,1,4,1,1,0,0,2,82972.9475402832,1159.11198011559,0,4,Seattle,24.8,15.2849740932642,98.2,1.75808720112518,5,4,1
